Total Return (%),Annualized Return (%),Annualized Volatility (%),Max Drawdown (%),Sharpe Ratio,Strategy
28.82007283967869,10.972012456071113,12.295653713543055,-23.00856120599124,0.485701093671273,MV GMIR
28.82007283967869,10.972012456071113,12.295653713543055,-23.00856120599124,0.485701093671273,MV GMIR
28.82007283967869,10.972012456071113,12.295653713543055,-23.00856120599124,0.485701093671273,MV GMIR
28.82007283967869,10.972012456071113,12.295653713543055,-23.00856120599124,0.485701093671273,MV GMIR
28.82007283967869,10.972012456071113,12.295653713543055,-23.00856120599124,0.485701093671273,MV GMIR
28.82007283967869,10.972012456071113,12.295653713543055,-23.00856120599124,0.485701093671273,MV GMIR
28.82007283967869,10.972012456071113,12.295653713543055,-23.00856120599124,0.485701093671273,MV GMIR
28.82007283967869,10.972012456071113,12.295653713543055,-23.00856120599124,0.485701093671273,MV GMIR
28.82007283967869,10.972012456071113,12.295653713543055,-23.00856120599124,0.485701093671273,MV GMIR
28.82007283967869,10.972012456071113,12.295653713543055,-23.00856120599124,0.485701093671273,MV GMIR
28.82007283967869,10.972012456071113,12.295653713543055,-23.00856120599124,0.485701093671273,MV GMIR
28.82007283967869,10.972012456071113,12.295653713543055,-23.00856120599124,0.485701093671273,MV GMIR
25.233001943583663,9.691129774377403,11.595270089425004,-17.267002680004317,0.4045727040593697,MV GMV
25.233001943583663,9.691129774377403,11.595270089425004,-17.267002680004317,0.4045727040593697,MV GMV
25.233001943583663,9.691129774377403,11.595270089425004,-17.267002680004317,0.4045727040593697,MV GMV
25.233001943583663,9.691129774377403,11.595270089425004,-17.267002680004317,0.4045727040593697,MV GMV
25.233001943583663,9.691129774377403,11.595270089425004,-17.267002680004317,0.4045727040593697,MV GMV
25.233001943583663,9.691129774377403,11.595270089425004,-17.267002680004317,0.4045727040593697,MV GMV
25.233001943583663,9.691129774377403,11.595270089425004,-17.267002680004317,0.4045727040593697,MV GMV
25.233001943583663,9.691129774377403,11.595270089425004,-17.267002680004317,0.4045727040593697,MV GMV
25.233001943583663,9.691129774377403,11.595270089425004,-17.267002680004317,0.4045727040593697,MV GMV
25.233001943583663,9.691129774377403,11.595270089425004,-17.267002680004317,0.4045727040593697,MV GMV
25.233001943583663,9.691129774377403,11.595270089425004,-17.267002680004317,0.4045727040593697,MV GMV
25.233001943583663,9.691129774377403,11.595270089425004,-17.267002680004317,0.4045727040593697,MV GMV
28.82007283967869,10.972012456071113,12.295653713543055,-23.00856120599124,0.485701093671273,MV GMIR
28.82007283967869,10.972012456071113,12.295653713543055,-23.00856120599124,0.485701093671273,MV GMIR
28.82007283967869,10.972012456071113,12.295653713543055,-23.00856120599124,0.485701093671273,MV GMIR
28.82007283967869,10.972012456071113,12.295653713543055,-23.00856120599124,0.485701093671273,MV GMIR
28.82007283967869,10.972012456071113,12.295653713543055,-23.00856120599124,0.485701093671273,MV GMIR
28.82007283967869,10.972012456071113,12.295653713543055,-23.00856120599124,0.485701093671273,MV GMIR
28.82007283967869,10.972012456071113,12.295653713543055,-23.00856120599124,0.485701093671273,MV GMIR
28.82007283967869,10.972012456071113,12.295653713543055,-23.00856120599124,0.485701093671273,MV GMIR
28.82007283967869,10.972012456071113,12.295653713543055,-23.00856120599124,0.485701093671273,MV GMIR
28.82007283967869,10.972012456071113,12.295653713543055,-23.00856120599124,0.485701093671273,MV GMIR
28.82007283967869,10.972012456071113,12.295653713543055,-23.00856120599124,0.485701093671273,MV GMIR
28.82007283967869,10.972012456071113,12.295653713543055,-23.00856120599124,0.485701093671273,MV GMIR
25.233001943583663,9.691129774377403,11.595270089425004,-17.267002680004317,0.4045727040593697,MV GMV
25.233001943583663,9.691129774377403,11.595270089425004,-17.267002680004317,0.4045727040593697,MV GMV
25.233001943583663,9.691129774377403,11.595270089425004,-17.267002680004317,0.4045727040593697,MV GMV
25.233001943583663,9.691129774377403,11.595270089425004,-17.267002680004317,0.4045727040593697,MV GMV
25.233001943583663,9.691129774377403,11.595270089425004,-17.267002680004317,0.4045727040593697,MV GMV
25.233001943583663,9.691129774377403,11.595270089425004,-17.267002680004317,0.4045727040593697,MV GMV
25.233001943583663,9.691129774377403,11.595270089425004,-17.267002680004317,0.4045727040593697,MV GMV
25.233001943583663,9.691129774377403,11.595270089425004,-17.267002680004317,0.4045727040593697,MV GMV
25.233001943583663,9.691129774377403,11.595270089425004,-17.267002680004317,0.4045727040593697,MV GMV
25.233001943583663,9.691129774377403,11.595270089425004,-17.267002680004317,0.4045727040593697,MV GMV
25.233001943583663,9.691129774377403,11.595270089425004,-17.267002680004317,0.4045727040593697,MV GMV
25.233001943583663,9.691129774377403,11.595270089425004,-17.267002680004317,0.4045727040593697,MV GMV
28.913477148029653,11.005083217937228,12.317808715538389,-22.565844480921804,0.4875122967579511,MV GMIR
28.913477148029653,11.005083217937228,12.317808715538389,-22.565844480921804,0.4875122967579511,MV GMIR
28.913477148029653,11.005083217937228,12.317808715538389,-22.565844480921804,0.4875122967579511,MV GMIR
28.913477148029653,11.005083217937228,12.317808715538389,-22.565844480921804,0.4875122967579511,MV GMIR
28.913477148029653,11.005083217937228,12.317808715538389,-22.565844480921804,0.4875122967579511,MV GMIR
28.913484095202712,11.005085677130833,12.317808213636336,-22.56584047365703,0.4875125162675409,MV GMIR
28.913484095202712,11.005085677130833,12.317808213636335,-22.56584047365703,0.4875125162675409,MV GMIR
